Profile Text,Link,Name,Designation,Department
"Education

MCA

BCA",https://www.niet.co.in/faculty/varsha-shukla,Ms. Varsha Shukla,Assistant Professor,Master of Computer Applications (MCA)
"Dr. Rashmi Mishra attained Doctor of Philosophy in Biotechnology (Mineral Biotech) from Birla Institute of Technology, Mesra, Ranchi (Deemed University) in 2009.

Dr. Mishra holds a rich experience of more than 20+ years in academics and research. Her forte lies in Environmental, Medical & Industrial Microbiology as well as Food Technology, and has accomplished more than 19 paper publication in journals of international repute. She has been instrumental in various training programs and seminars with the sole purpose to disseminate knowledge towards the significance of the Microbiology and Biotechnology in the present scenario as well as in the future. Dr. Mishra has authored two books namely ""General Microbiology"" and ""Microbial Investigation on Recovery of Zinc from Low-grade Ores and Other Waste Materials"".",https://www.niet.co.in/faculty/rashmi-mishra,Dr. Rashmi Mishra,Head,Biotechnology
"Dr. Santosh Kumar working as an Associate Professor in CSE-IOT Department at Noida Institute of Engineering and Technology, Greater Noida, India.

I have Ph.D. in CSE from Sri Satya Sai University of Technology and Medical Sciences, Sehore-M.P, completed B.Tech and M.Tech in CSE from UPTU-LUCKNOW and RGPV-BHOPAL. I have total 9.5 Years of experience . My Research field Areas Image Processing . I have published 12 Research papers, on 06 International Conference Paper Scopus Index IEEE and holding 2 Patent and serves as a reviewer for academic conferences. I am also life time member of ISTE-NEWDELHI and The institution of Engineerars-Kolkata.",https://www.niet.co.in/faculty/santosh-kumar,Dr. Santosh Kumar,Associate Professor,Associate Professor
"Ms. Pooja Sharma Assistant Professor, Noida Institute of Engineering and Technology Greater. Noida, has 2.5 years’ experience in teaching. She has completed M.Tech from Amity University, Uttar Pradesh and B.Tech (Information Technology) from AKTU in 2017 and 2014. She is pursuing Ph.D from Netaji Shubhas University of Technology, Dwarka. Her area of research is in Computer Network, Information Security, Cyber Security, Ethical Hacking, Artificial Intelligence, Machine Learning, Information Security etc.",https://www.niet.co.in/faculty/pooja-sharma,Ms. Pooja Sharma,Assistant Professor,Computer Science
"Education

Ph.D.",https://www.niet.co.in/faculty/ankit-manral,Dr. Ankit Manral,Assistant Professor,Mechanical Engineering
"Innovative and results-driven expert in AI, Data Science, Machine Learning, and Design Thinking with a passion for creating intelligent solutions. Possessing over 17 years of experience in leading data-driven projects and developing transformative strategies. Adept at utilizing cutting-edge technologies to deliver impactful results for businesses and organizations.",https://www.niet.co.in/faculty/yaduvir-singh,Mr. Yaduvir Singh,Assistant Professor,Artificial Intelligence
"Mr. Pradumn Kumar Gupta. received B.Tech. degree in Electronics and Communication Engineering (ECE) in 2008 and M.Tech. degree in Antenna design from NIET, Greater Noida in 2017. He has 12.5 years of experience in teaching. His areas of work include Antenna design. I have 1.5 years of industry experience in purchase department.",https://www.niet.co.in/faculty/praduman-kumar-gupta,Mr. Praduman Kumar Gupta,Assistant Professor,Electronics & Communication Engineering
"Mr. Vaibhav Bhatnagar currently working as an Asistant Professor in the department of Computer Science & Engineering, at NIET, Greater Noida. He is having over 5 years of experience in teaching and academics. He has received his Masters Degree in Computer Science & Engineering from Galgotias University, Greater Noida. He has published over 5 research papers including 2 book chapters. His area of expertise includes IoT, Big Data, Cloud & Network Security as well.",https://www.niet.co.in/faculty/vaibhav-bhatnagar,Mr. Vaibhav Bhatnagar,Assistant Professor,Computer Science & Engineering
"Mr. Raj Shekhar is currently working as an Assistant Professor in the Department of Computer Science & Engineering at NIET, Greater Noida. He has a total of 2.5 years of experience. He received his Master's degree in Computer Science from the National Institute of Technology, Rourkela. His areas of expertise include Computer Vision, Deep Learning, Databases, Data Structures, and Algorithms.",https://www.niet.co.in/faculty/raj-shekhar,Mr. Raj Shekhar,Assistant Professor,Computer Science & Engineering
"Ms. Nishu Chauhan Assistant Professor, NIET, Greater Noida is a faculty member in HR and marketing. She is UGC NET Qualified and pursuing Ph.D. in management from BPS Women University, Sonipat, Haryana. Her topic for her doctoral dissertation is Organizational politics, Quality of work and Academic Leadership in Higher Education. Besides, she holds the degree of M.B.A and B.B.A from BPS Women University, Sonipat, Haryana. Also, she presents interest in innovation and research with two papers published in ABDC and 2 patents in management (Human Resources) and technology and has presented multiple papers in conferences.",https://www.niet.co.in/faculty/nishu-chauhan,Ms. Nishu Chauhan,Assistant Professor,Master of Business Administration (MBA)
"Education

M.Tech",https://www.niet.co.in/faculty/mudit-tyagi,Mr. Mudit Tyagi,Assistant Professor,Mechanical Engineering
I am Neha Singh. I have done MCA from Usha Martin University. I have 3.2 years’ experience as Software Engineer from RV Web Company. Currently I am working as Assistant Professor in Noida Institute of Engineering Software Technology.,https://www.niet.co.in/faculty/nehasingh,Ms. Neha Singh,Assistant Professor,Master of Computer Applications (MCA)
"Ms Vaishali Mishra currently working as Assistant Professor in the department of Computer Science & Engineering, at NIET, Greater Noida. She has 4 years experience in teaching.She has received her Masters Degree from Uttar Pradesh Technical University Lucknow. She has published 4 research papers. Her area of expertise includes SE, Machine learning, Advanced java, and object oriented programming.",https://www.niet.co.in/faculty/vaishali-mishra,Ms. Vaishali Mishra,Assistant Professor,Computer Science & Engineering
"Meenu Chaudhary has completed Ph.D. in Human Resource Analytics from Amity University Noida. Her area of interest in research includes Human Resource Management and holds certifications in Predictive Analytics and Business Intelligence. She is an experienced Assistant Professor with a demonstrated history of working in the education management industry with strong education professional with a Master of Business Administration (M.B.A.) in Human Resources Management/ Personnel Administration, General from Amity University. She has diverse experience and has worked with HCL Technologies and Info Edge Limited.",https://www.niet.co.in/faculty/meenu-chaudhary,Dr. Meenu Chaudhary,Assistant Professor,Master of Business Administration (MBA)
"Ms. Aarushi Thusu is working as an Assistant Professor in the department of Artificial Intelligence and Machine Learning at NIET from last one and a half years.

She has completed her masters from Indira Gandhi Delhi Technical University for Women with specialization in Artificial Intelligence. She has also worked at HCL as an intern for a period of Six months in the field of Machine Learning and Natural Language processing, her exposure to the industry contributes significantly in the growth of the students.",https://www.niet.co.in/faculty/aarushi-thusu,Ms. Aarushi Thusu,Assistant Professor,Not Defined
"One semester (2015) teaching experience as Assistant Professor in Department of Mechanical Engineering of Rameswaram Institute of Technology & Management, Lucknow.

I am currently working as Assistant Professor in the Department of Mechanical Engineering of Noida Institute of Engineering & Technology, Greater Noida from 10 March 2016 till date.

I am also working as Technical Trainer for Advance Diploma in Automotive Mechatronics (ADAM) at Mercedes Benz- Centre of Excellence in NIET Greater Noida since 2 August 2018.",https://www.niet.co.in/faculty/shiv-narayan-prajapati,Mr. Shiv Narayan Prajapati,Assistant Professor,Mechanical Engineering
"Mr. Vikash has 11 years of experience in academic and corporate. He is currently working as an assistant professor of Finance and Marketing. He has completed his MBA in finance and marketing from Uttarakhand Technical University, Dehradun and B.COM (H) from Marwari College Ranchi affiliated by Ranchi University, Ranchi.

With more than 10 years of experience as a finance faculty, he is trained in curriculum development, classroom instruction, and coordination activities. Moreover, while on-the-job experiences afforded him well-rounded skill sets including fast rate coordination and good interpersonal skill, he excels at going above and beyond to make advancements in the management field. In addition to his professional and personal qualities, he has a good educational foundation and a passion for finance in business administration. He is passionate about his research in the field of Finance; it is a burning topic in the country. He has published several research papers, chapter, patent and one book in national and International Journal. He is excited about furthering his knowledge in this field and hopes to make a valuable academic contribution.",https://www.niet.co.in/faculty/vikash-barnwal,Mr. Vikash Barnwal,Assistant Professor,Master of Business Administration (MBA)
"I am Suhail Rashid Wani working as an Assistant Professor in Department of Computer Science and Engineering, NIET, Greater Noida, India. I completed my B. Tech (ECE) from IUST Awantipora J&K and M. Tech (CSE) with specialization Data Science from Sharda University, Greater Noida UP, India. My area of research are Machine learning and Deep Learning and currently i am interested in image processing .My subject areas are Machine learning, Deep learning , Data mining , Big data, NLP.",https://www.niet.co.in/faculty/suhail-rashid-wani,Mr. Suhail Rashid Wani,Assistant Professor,Computer Science & Engineering
Not Defined,https://www.niet.co.in/faculty/shivam-kumar,Mr. Shivam Kumar,Assistant Professor,Humanities & Applied Sciences
"Experience of 13 years of teaching experience as well as 1 year of industry experience. My area of expertise includes Information security, Data Structure and AI. I have published around 8+ international/national research papers, 03 patents.",https://www.niet.co.in/faculty/harsha-gupta,Dr. Harsha Gupta,Assistant Professor,Information Technology
"Dr. Priyanka Malhotra is an Assistant Professor in the Department of MBA at NIET, Greater Noida.

She has an experience of around d 15 years teaching Under Graduate and Post Graduate classes in the domains of HR, Marketing and Organisational Behaviour. She completed her Ph.D in the field of Organisational Behaviour from Punjab Technical University, Jullundhar, Punjab. She has 6 publications to her credit in UGC, SCIE and Scopus and ABDC journals. She has authored one book on Organisational Behaviour and written two book chapters in national level publications.",https://www.niet.co.in/faculty/priyanka-malhotra,Dr. Priyanka Malhotra,Assistant Professor,Master of Business Administration (MBA)
Not Defined,https://www.niet.co.in/faculty/shormita-ghosh,Dr. Shormita Ghosh,Assistant Professor,Humanities & Applied Sciences
"Education

B.Tech

(ME)

M.Tech

(Manufacturing Engineering)

Ph.D

(Production engineering)",https://www.niet.co.in/faculty/sanjay-sundriyal,Dr. Sanjay Sundriyal,Assistant Professor,Mechanical Engineering
"Mayank Deep Khare is an experienced Assistant Professor and Head of CSE(IoT) department with a demonstrated history of working in the education management industry.

Skilled in IoT solutions, Arduino Programming, Web Development ASP.net ,C#,MS SQL server, Windows Server Management, Pursuing PhD in Internet of Things from NIT, Delhi and strong education professional with a Master of Technology (M Tech) focused in Information Technology from Madan Mohan Malviya University of Technology, Gorakhpur.",https://www.niet.co.in/faculty/mayank-deep-khare,Mr. Mayank Deep Khare,Assistant Professor and Head,Internet of Things (IoT)
Being a part of NIET Greater Noida is a real satisfaction and privilege for me. NIET College is a talent pool of the best faculty with cutting-edge pedagogy and Industry interaction. We authentically believe in the all-round personality enhancement of our students. The variety of courses offered by NIET College gives the golden opportunity to the students to excel in different fields. The relationship between Management and Students is Cordial.,https://www.niet.co.in/faculty/mohammad-raza,Mr. Mohammad Raza,Assistant Professor,Electronics & Communication Engineering
"Aakash Pandey is currently working as an assistant professor of English at the Noida Institute of Engineering and Technology, Greater Noida, India. He teaches Business English to students in Engineering and Computer Application. Earlier, he worked as an Assistant Professor on a guest basis at JNB College, Central Sanskrit University. He completed an M.Phil in English from Mahatma Gandhi Central University, Bihar, India. He has worked as a content writer in English at the Physics Wallah, Manuscript Edit, and Deneb Shipping on a freelance basis. He has qualified for national-level exams like UGC NET and GATE in English. His research papers have been published in various national and international peer-reviewed journals including the Web of Science (WOS). He has presented his papers at International conferences and National level seminars.",https://www.niet.co.in/faculty/aakash-pandey,Mr. Aakash Pandey,Assistant Professor,Humanities & Applied Sciences
"Theertha T is a conscientious teacher that brings a multidisciplinary perspective to English education. Holding an MA in Literary and Cultural Studies from EFLU, Hyderabad, she focuses on integrating insights from social sciences and humanities into teaching. Her research interests include the intersections of language, culture, and society. She is passionate about equipping students with the tools to excel in both academic and professional spheres, and committed to creating an inclusive and interactive learning environment that empowers students to achieve their full potential in English communication.

Dedicated to fostering effective communication among students, she is particularly inclined towards those facing challenges in English proficiency. In addition to this, the area of interest lies in employing innovative, fun, and engaging classroom activities to build confidence and fluency, tailored to meet the needs of diverse learners.",https://www.niet.co.in/faculty/theertha-t,Ms. Theertha T,Assistant Professor,Humanities & Applied Sciences
"I am K Prabhanjan Kumar working as an Assistant Professor of Information technology and Computer Science Engineering.

I have total 9 plus years of teaching experience. My association with NIET since from 2019.I have done my M Tech in computer science and engineering from JNTUK as well B.Tech in Computer science and Information Technology from JNTUK. My area of interest is Big Data, Cloud, Networking and IOT. I have received the Faculty appreciation certificate from GCP.",https://www.niet.co.in/faculty/k-prabhanjan-kumar,Mr. K Prabhanjan Kumar,Assistant Professor,Information Technology
"I am Neetu Rajput working as an Assistant Professor in Department of IT & M.Tech (Int.), NIET, Greater Noida, India.

I earned my B.Tech (CSE) from AKTU degree and M.Tech (CSE) from Galgotias University. I have total experience of 4 years including 2 years of industry Experience. My area of research are network security, ADHOC networks. My subject areas are OOTs using Java, Computer network, Artificial Intelligence, Advanced Java, Web Technology, Software Engineering.",https://www.niet.co.in/faculty/neetu-rajput,Ms. Neetu Rajput,Assistant Professor,Information Technology
"Dheeraj Tripathi completed his Post Graduation from AKTU (Dr. A.P.J. Abdul Kalam Technical University) University . Currently, he is employed as an assistant professor at NIET (Noida Institute of Engineering and Technology) in Greater Noida, India.

Dheeraj has over 5 years of teaching and research experience, which indicates his expertise in the field. His research interests are primarily centered around the following areas: Wimax Antenna, Antenna and Filter Design for 5G, Impact of Parasitic Component on Bandwidth of Printed Dipole Antenna Furthermore, Dheeraj has a solid publication record, having published more than six papers in Conferences and SCI (Science Citation Index) journals, which are well-regarded for their rigor and peer-review process. Additionally, he has contributed to one book chapter, which demonstrates his involvement in sharing his expertise with the academic community. Dheeraj holds a certification in the field of networking, which indicates his proficiency in this area. He has successfully cleared the GATE (Graduate Aptitude Test in Engineering) exam three times, showcasing his strong academic and technical knowledge.",https://www.niet.co.in/faculty/dheeraj-tripathi,Mr. Dheeraj Tripathi,Assistant Professor,Electronics & Communication Engineering
Not Defined,https://www.niet.co.in/faculty/pragya-singh,Ms. Pragya Singh,Computer Science & Engineering,Computer Science & Engineering
"Dr Poornima Mehta completed her PhD in Computer Science from Jaypee Institute of Information Technology, Noida in 2019. Before that she completed her MSc in Maths followed by MTech in Computer Applications in 1990 (both from IIT Delhi).

Currently working as a Professor in IT department of NIET, Greater Noida. She worked as an Associate Professor in the Department of Computer Science of JSS, Noida for 9 years. Before joining academics, she worked in the software industry for 14 years. Of which she served 5 years in the R & D Division of Centre for Railway Information Systems, Delhi and 7 years in TCS, Noida, where she handled large projects. Her areas of interest include NLP, AI and software engineering.",https://www.niet.co.in/faculty/poornima-mehta,Dr. Poornima Mehta,Professor,Information Technology
"Nisha works as an Assistant Professor in the Department of Computer Science Engineering at the Noida Institute of Engineering & Technology (NIET), Greater Noida. She has teaching and research experience of 9 years. She received her M.Tech degree in VLSI Designn Her area of interest includes VLSI DESIGN, ROBOTICS,IoT.",https://www.niet.co.in/faculty/nisha,Ms. Nisha,Assistant Professor,Computer Science & Engineering
"Prof. (Dr.) Vineet is an academician with a vast experience of 25 years in the field of education out of which 24 years overseas Kuwait.

His area of research specialisation is Cybersecurity in Networks. He has published 3 papers in SCI &UGCcare journals and presented in 2 conferences also. He was given the Best Teacher Award by an NGO Himakshara of Maharashtra and Indian overseas congress Kuwait for his contribution to the field of education.He has published many articles related to Information Technology in the newspaper the Times, Kuwait & school journal.He was honoured by Indian Ambassador to Kuwait for his services.He was the active member of Toastmaster International Kuwait.",https://www.niet.co.in/faculty/vineet-kumar,Dr. Vineet Kumar,Assistant Professor,Cyber Security
"Education

M.Tech",https://www.niet.co.in/faculty/tarun-kumar,Mr. Tarun Kumar,Assistant Professor,Mechanical Engineering
"Education

M.Tech",https://www.niet.co.in/faculty/anshu-anand,Mr. Anshu Anand,Assistant Professor,Mechanical Engineering
"Dr Yusuf Mehdi is currently an Assistant Professor of English at Noida Institute of Engineering and Technology, Greater Noida, India, where he is involved in teaching professional/business English to the students of Engineering, Computer Application and Management. Earlier, he worked as an Assistant Professor at Jaipuria School of Business (JSB), Indirapuram, Ghaziabad (A Flagship Institute of Jaipuria Group) for about 6 years. At JSB, he was the Chair, Centre for Creativity and Innovation and was also the Faculty In-Charge, Corporate Relations, and Placements. Prior to this, he worked in King Saud University, Saudi Arabia as an Assistant Professor and in ABES IT Group of Institutions Ghaziabad as an Assistant Professor of English. He was also a faculty at Al-Falah College of Engineering and Technology, M.D. University (Rohtak).

Dr Mehdi completed Ph.D in English Language Teaching from Amity University Noida. He is also a Cambridge University certified English Language Teacher as he did CELTA (Certification in English Language Teaching to Adults) from Hampstead School of English, London (University of Cambridge). He is a graduate in English Honours from the University of Delhi; has a master’s degree in English Literature from Jamia Millia Islamia; and an M. Phil in English.

Dr Mehdi has total 26 research papers published in International and National Journals of repute including SCOPUS Listed journals. He has also authored several book chapters, reviews, working papers, etc. He has been on the Editorial Boards and Review Panels of many scholarly journals. As a corporate trainer and executive coach, he has trained and coached large number of teachers and professionals for MDPs, EDPs, and FDPs. He has been a resource person in many workshops and seminars.",https://www.niet.co.in/faculty/yusuf-mehdi,Dr. Yusuf Mehdi,Associate Professor,Humanities & Applied Sciences
"I am working as an assistant professor in NIET, Greater noida since 2006,currently pursuing Ph.D. from department of computer science & engineering, Sharda University,obtained his M.Tech(CSE) degree from UPTU, Lucknow(U.P) and B.Tech degree from IEI Lucknow. My research field areas include Cryptography and security,Computer Network.",https://www.niet.co.in/faculty/sanjay-nayak,Mr. Sanjay Nayak,Assistant Professor,Computer Science & Engineering
"Education

Ph.D.

M.Tech

MCA",https://www.niet.co.in/faculty/santosh-kumar-gupta,Mr. Santosh Kumar Gupta,Assistant Professor,Master of Computer Applications (MCA)
"Education

M.Tech",https://www.niet.co.in/faculty/prachee-srivastava,Dr. Prachee Srivastava,Assistant Professor,Mechanical Engineering
"Ms. Archana Verma is working as an Assistant Professor in School of Computer Applications. She did her graduation from Delhi University, Master of Information Science from University of New South Wales Australia. MCA from MDU Rohtak and M.Tech in CSE from Amity University. She has written 5 books namely ""Unix and Shell Programming"", ""Bioinformatics"", ""Database Management Systems"",

""Operating Systems"" and ""Inttroduction to Computer Networks.",https://www.niet.co.in/faculty/archana-verma,Ms. Archana Verma,Assistant Professor,Master of Computer Applications (MCA)
"Dr. Lovely is presently an Assitant professor in Department of Biotechnology, NIET Greater Noida.

She has acquired Doctoral degree from IIT Delhi and M.tech Degree from NITK Surathkal in the field of Biochemical Engineering. Formerly, she was teaching as a Guest faculty in NIT Jalandhar.",https://www.niet.co.in/faculty/lovely,Dr. Lovely,Assistant Professor,Biotechnology
"Ms. Garima Dhawan is serving as an Assistant Professor in Data Science Department at Noida Institute of Engg. & Technology, Greater Noida, U.P. she has Qualified UGC NET 2019 as well as HTET.

Her roles and responsibility include teaching courses like Database Management Systems, Foundations of Data Science, Data Analysis etc. She is dedicated to equipping students with practical skills in Data analysis & Data Visualisation. She has Indian Patents and published research paper in international conferences and journals. She also took part in many FDPs/Workshops.",https://www.niet.co.in/faculty/garima-dhawan,Ms. Garima Dhawan,Assistant Professor,Data Science
"Education

Ph.D.

MBA (2009)",https://www.niet.co.in/faculty/sonia-munjal,Dr. Sonia Munjal,Professor & Head,Master of Business Administration (MBA)
"Ms. Rashmi Bhardwaj currently working as an Asistant Professor in the department of Computer Science & Engineering, at NIET, Greater Noida. She is having over 4 year experience in teaching and academics. She did MCA and M.Tech from Dr. Abdul Kalam Technical University, Lucknow. She has published 4 research paper. Her area of interest is operating system, Computer Network and Digital image processing.",https://www.niet.co.in/faculty/rashmi-bhardwaj,Mr. Rashmi Bhardwaj,Assistant Professor,Computer Science & Engineering
"Kanishka Bhadauria is an accomplished educator with three years of experience in the teaching profession. A college topper in B.Ed., she combines her academic excellence with a deep commitment to nurturing student success. She has qualified the intermediate level of German language proficiency and currently serves as a German language instructor at NIET College, Noida.

Kanishka is known for her dynamic teaching methods, fostering an engaging and inclusive learning environment. Her dedication to clarity, patience, and personalized guidance ensures that students excel in their academic and language pursuits. Passionate about continuous growth, she strives to inspire confidence and a love for learning in all her students.",https://www.niet.co.in/faculty/kanishka-bhadauria,Ms. Kanishka Singh Bhadauria,Humanities & Applied Sciences,Humanities & Applied Sciences
"Ms. Garima Singhal is an Assistant Professor in the MBA Department at NIET Greater Noida. With over a year of experience in academia, she excels in fostering student engagement and achieving learning objectives. Garima has a strong academic background, with a B. Tech in CSE from Meerut International Institute of Technology and an MBA in IT, Finance from the same institution, showcasing her commitment to continuous learning. In her role, she has demonstrated proficiency in classroom administration, student support, and curriculum development, particularly in IT-related subjects. Recognized for her training sessions in Advance Excel, Java/J2EE, Laravel, and PHP, Garima's dedication to her field is evident through her continuous pursuit of knowledge and excellence in teaching. Additionally, Garima is skilled in research, contributing valuable insights to her field.",https://www.niet.co.in/faculty/garima-singhal,Ms. Garima Singhal,Assistant Professor,Master of Business Administration (MBA)
"Hina Koser is a committed Assistant Professor in the Department of Languages (English) in Noida Institute of Engineering and Technology, Greater Noida, with 3 continuous years of teaching experience. She has previously taught at Chaudhary Charan Singh University, Raghunath Girls’ Post-graduate College, and Meerut Institute of Engineering and Technology, contributing significantly to student learning and academic development.

A NET-qualified scholar, Hina is the author of several widely acclaimed literary works, including Rainbow: A Sneak into Vikas Sharma's Novels, Epiphanies III, and Epiphanies IV. These books are widely recognized and integrated into the academic curriculum for students of English Literature, underlining her scholarly contributions.

Hina delivered a talk as a resource person on the National Education Policy 2020, focusing on revamping all aspects of 21st-century education. Additionally, she pursued and was certified in a research writing course offered by the U.S. Department of State, further strengthening her research and pedagogical expertise.

She has attended more than five Faculty Development Programs, integrating the acquired knowledge into her teaching methods. Her active participation in over 40 national and international conferences, seminars, and workshops has enriched her professional growth and continues to inspire her students in developing critical thinking, communication, and soft skills essential for their success.

Hina is currently pursuing a Ph.D. and remains dedicated to advancing her academic and professional journey.",https://www.niet.co.in/faculty/hina-koser,Ms. Hina Koser,Assistant Professor,Humanities & Applied Sciences
Not Defined,https://www.niet.co.in/faculty/bharti-pandey,Ms. Bharti Pandey,Assistant Professor,Humanities & Applied Sciences
"Dr. Manisha Seth holds a Bachelor's degree in Engineering and a Master's in Business Administration, with Ph.D. from Thapar University. With over 24 years of experience in management faculty roles across Delhi NCR B-Schools, she has excelled in teaching, research, administration, exam coordination, and university collaboration. Her teaching spans a diverse range of subjects including Financial Management, SAPM, Supply Chain Management, Managerial Economics, and Research Methodology. Notable achievements include being a UGC-NET qualifier, securing top positions and scholarships during her academic pursuits, and receiving the 'Best Faculty' Award from students of B-school in Noida.",https://www.niet.co.in/faculty/manisha-seth,Dr. Manisha Seth,Assistant Professor,Master of Business Administration (MBA)
"I Vikash Tripathi currently working as a Assistant Professor, In CSE(AI) at NIET, Greater Noida since Sep 2022.

I have a 6 year experience in academics. I worked as a assistant professor in RTU Kota for 4 years and 10 month a content developer in BYJU’S(GATE CSE). I had completed my M.Tech(AI) from University of Hyderabad. I had qualified GATE(CSE/IT) exam in 2014 & 2015 with more than 96 percentile.",https://www.niet.co.in/faculty/vikash-tripathi,Mr. Vikash Tripathi,Assistant Professor,Artificial Intelligence
"Bhawna works as an Assistant Professor in the Department of Computer Science and Engineering at Noida Institute of Engineering & Technology (NIET), Greater Noida. She is pursuing PhD in AI, from AMITY University. She has teaching and research experience of 11 years. She received her M.Tech degree in VLSI Design from MDU, Rohtak . Her research profile includes research paper on Fractal Antenna , IoT and has 3 patents granted. Her area of interest includes VLSI Design, Artificial Intelligence applications, and IoT.",https://www.niet.co.in/faculty/bhawna-khullar,Ms. Bhawna Khullar,Assistant Professor,Computer Science & Engineering
"Dr. Dhananjay Singh has received the Ph.D degree in “Design and Fabrication of Microstrip Patch Antenna for Next Generation Mobile Applications” in 2022, from Galgotias University, Greater Noida, (Uttar Pradesh)-India. He has received M.Tech degree in Telecommunication Engineering, from Noida Institute of Engineering & Technology, Greater Noida, (Uttar Pradesh)-India, in 2014 and B.Tech degree in Electronics & Communication Engineering, from Babu Banarsidas Institute of Engineering Technology & Research Centre, Bulandshahr (Uttar Pradesh)-India, in 2010.

After his graduation in Electronics and communication engineering, he has worked in industry for some time. After that he has joined academics. In 2010, he had joined as a Lecturer in the Department of Electronics and communication engineering cum Chief Warden at Priyadarshini College of Computer Sciences, Greater Noida, (Uttar Pradesh)-India.

He has attended many workshops and published many papers in national and international journals and conferences. His field of interest includes Microwave Antenna and optical waveguide. He is a lifetime member of IAENG (MEMBER NO. 253432).",https://www.niet.co.in/faculty/dhananjay-singh,Dr. Dhananjay Singh,Assistant Professor,Electronics & Communication Engineering
"Shikha Singh is currently working as an Assistant Professor in the Department of Electronics and Communication at Noida Institute of Engineering & Technology (NIET), Greater Noida. She is pursuing Ph.D. from Bennett University.

She received her Master of Technology from Noida Institute of Engineering and Technology (NIET), Greater Noida and Bachelor of Technology from Uttar Pradesh Technical University (UPTU). Her roles and responsibilities include teaching courses like VLSI Design, Logic Design and Microcontroller, Computer Organization & Architecture, Microprocessor. Her research interest includes VLSI Design, IoT and ML. She has published research papers in National & International Conference of repute. She has attended various training programs in the area of interest.",https://www.niet.co.in/faculty/shikha-singh,Ms. Shikha Singh,Assistant Professor,Electronics & Communication Engineering
"Ms. Sonia Arora is serving as an Assistant Professor in CSBS Department with M.tech in CSE. She is Pursuing her doctorate in the field of AI & ML.

She is in teaching profession for more than 12 years. She is the active member of IEEE. Sonia is a prolific researcher with approximately 8 published papers and one book chapter in esteemed journals, indexed by Scopus, IEEE, Springer, Elsevier . Beyond her research contributions, Sonia's innovative spirit shines through her portfolio of around 5 patents . Her work exemplifies her dedication to advancing AIML .Her areas of interest include image processing, machine learning, artificial intelligence, Automata Theory and Algorithm Design.",https://www.niet.co.in/faculty/sonia-arora,Ms. Sonia Arora,Assistant Professor,Computer Science and Business Systems
"I am working as an assistant professor in NIET, Greater noida since 2015,currently pursuing Ph.D. from department of computer science & engineering, MMMUT, Gorakhpur, UP,obtained his M.Tech(CSE) degree from Dr, A,P,J,Abdul Kalam Technical University, Uttar Pradesh and B.Tech degree from GBTU,UP. My research field areas include deep learning,Machine learning, artificial intelligence.",https://www.niet.co.in/faculty/maneesh-kumar,Mr. Maneesh Kumar,Assistant Professor,Computer Science & Engineering
"Benazir Manzar is an Assistant Professor in the Department of Languages, Noida Institute of Engineering and Technology, Greater Noida. She has completed her PhD from Indian Institute of Technology (ISM), Dhanbad. Her research deals with the changing mood of the new millennium and its effects on Bombay cinema and youth culture. It reads into the anguish, aspiration and hopes of the generation who reached adulthood in the first decade of the new millennium. Bombay cinema in the new millennium is marked with experimentation, invention and incorporation of ideas that is breaking away from typical narratives. Her research work is published in various reputed journals. She has published her first book Noises Inside, which is a collection of poems. She was awarded first prize in the Essay Competition in the competitive magazine Pratiyogita Darpan, and the essay was published in Pratiyogita Darpan (English). She completed her Graduation and Post Graduation in English Literature from Jamia Millia Islamia, New Delhi. She was selected for NESA undergraduate exchange program during her undergraduate and went to North Central Technical College, Wausau, Wisconsin, USA for a semester program.

Her areas of interest are popular culture, cinema, youth culture, gender and communication. She can be reached at benazir.manzar@niet.co.in",https://www.niet.co.in/faculty/benazir-manzar,Dr. Benazir Manzar,Assistant Professor,Humanities & Applied Sciences
"Dr. Mohammad Shahid is currently working as an Associate Professor and Head, CSE (AIML) at Noida Institute of Engineering & Technology, Greater Noida. He has a total experience of seventeen years in teaching, research and administration across the globe. His area of research is Machine Learning and Generative AI. His student centric approach leads to holistic development of students, with his efforts, the students of the department not only excel in the field of technology but also they grow as an ethical engineer having a motivation of working for the wellness of the society.",https://www.niet.co.in/faculty/mohammad-shahid,Dr. Mohammad Shahid,Associate Professor,Associate Professor
"I, Vivek Kumar Sharma currentely working as an Assistant Professor in department of Computer Science & Engineering at NIET Greater Noida. He is having over 11 years of experience in teaching and academics. He has received his Masters Degree in Computer Science & Engineering from Invertis University, Bareilly. He has published over 11 research papers . His area of expertise includes Image Security, Soft Computing, Automata Theory,",https://www.niet.co.in/faculty/vivek-kumar-sharma,Mr. Vivek Kumar Sharma,Assistant Professor,Computer Science & Engineering
"Ms. Manjusha Gundale, Assistant Professor Department of MCA at Noida Institute of Engineering & Technology, Greater Noida. Graduated in Bachelors of Computer Science from Swami  Ramand Teerth Marathwada University, Nanded & Master of Computer Applications from University of Pune, Maharashtra. Having more than 12 years of teaching experience from various Institutes of  Pune and Greater Noida. During her teaching tenure she has handled many subjects and projects. She has published & presented 5 National Research Papers & 3 International Research papers in reputed Journals including Scopus. Also having one National level patents in IOT. She is also participated in Train the Trainer program on Full Stack Engineering Organized by Virtusa.",https://www.niet.co.in/faculty/manjusha-gundale,Ms. Manjusha Gundale,Assistant Professor,Master of Computer Applications (MCA)
